exp_ID,run_ID,latent_dim_sub,latent_dim_sym,learning_rate,dropout,dropout_ENC,dropout_DEC,recon_w,kl_w,query_w,sup_w,LAPLACE_recon_val,acc_discr_val,LAPLACE_recon_test,acc_discr_test,acc_gen,epochs,max_epoch,time,tag
1,21-03-2026-14-16-27,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,2179.886474609375,0.94,2185.79541015625,0.89,0.05263157894736842,50,50,3756.803773880005,base_10Digits
1,21-03-2026-15-24-30,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,2082.642578125,0.94,2085.133056640625,0.92,0.42,50,50,3423.571480035782,base_10Digits
1,21-03-2026-16-27-27,8,15,0.0001,0.5,0.5,0.5,0.1,1e-05,1.0,0.0,2092.199951171875,0.93,2094.428466796875,0.94,0.17210526315789473,50,50,3813.7653379440308,base_10Digits
