exp_ID,run_ID,latent_dim_sub,latent_dim_sym,learning_rate,dropout,dropout_ENC,dropout_DEC,recon_w,kl_w,query_w,sup_w,flow_w,LAPLACE_recon_val,acc_discr_val,LAPLACE_recon_test,acc_discr_test,acc_gen,epochs,max_epoch,time,tag
1,23-03-2026-10-48-29,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,1.0,2080.357177734375,0.89,2081.42822265625,0.89,0.5473684210526316,50,50,1507.5065269470215,ablation
1,23-03-2026-11-16-33,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,1.0,2084.793701171875,0.93,2086.08740234375,0.9,0.29947368421052634,50,50,1814.7164208889008,ablation
1,23-03-2026-11-49-42,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,1.0,2077.50341796875,0.93,2078.073974609375,0.94,0.578421052631579,50,50,1762.4175913333893,ablation
1,23-03-2026-12-21-57,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,1.0,2180.15869140625,0.96,2184.360107421875,0.93,0.05263157894736842,50,50,1666.379281759262,ablation
1,23-03-2026-12-52-36,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,1.0,2085.088623046875,0.9,2086.178466796875,0.92,0.36473684210526314,50,50,1772.658632516861,ablation
2,23-03-2026-13-25-23,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,0.0,2088.656982421875,0.9,2089.484619140625,0.89,0.2657894736842105,50,50,2304.545018196106,ablation
2,23-03-2026-14-05-33,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,0.0,2084.06494140625,0.92,2085.18896484375,0.91,0.2847368421052632,50,50,2565.663898706436,ablation
2,23-03-2026-14-50-05,8,15,0.0001,0.5,0.5,0.5,0.1,0.001,1.0,0.0,0.0,2180.15869140625,0.93,2184.360107421875,0.92,0.05263157894736842,50,50,2681.6103925704956,ablation
